name,price,package_size,serving_size,calories_per_serving,calculated_calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Spaghetti Carbonara,$4.29,16 Oz,140 g,280.0,274.0,14 g,9 g,0 g,45 mg,670 mg,26 g,2 g,4 g,0 g,11 g,0.0 mcg,170 mg,0.6 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Vegan Pepperoni,$4.99,5 Oz,30 g,70.0,82.0,6 g,1.0 g,0 g,0 mg,310 mg,3 g,0 g,0 g,0 g,4 g,0.0 mcg,20 mg,0.2 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Organic Garlic Bread,$3.99,12 Oz,56 g,170.0,161.0,5 g,2.5 g,0 g,0 mg,330 mg,25 g,2 g,0 g,0 g,4 g,0.0 mcg,10 mg,0.4 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Yellow Cling Peach Halves,$4.79,24.7 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reduced Guilt Spinach & Kale Greek Yogurt Dip,$4.49,16 Oz,28 g,30.0,30.0,2.0 g,0 g,0 g,10 mg,150 mg,2 g,2 g,2 g,0 g,1 g,0.0 mcg,40 mg,0.2 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Cauliflower Slims,$3.99,4.5 Oz,64 g,200.0,186.0,10 g,6 g,0 g,140 mg,520 mg,6 g,4 g,3 g,0 g,18 g,0 mcg,400 mg,1.6 mg,350 mg,,,,,,,,,,,,,,,,,,,,,
Black Peppercorns with Grinder,$2.49,1.8 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza Party Potato Chips,$2.69,6 Oz,28 g,140.0,139.0,7 g,0.5 g,0 g,0 mg,130 mg,17 g,2 g,2 g,0 g,2 g,0.0 mcg,10 mg,0.6 mg,460 mg,,,,,,,,,,,,,,,,,,,,,
Mini Mochi Rice Nuggets,$1.99,3.5 Oz,33 g,200.0,207.0,15 g,3.5 g,0 g,0 mg,105 mg,17 g,0 g,0 g,0 g,1 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Dolmas,$3.49,9.86 Oz,84 g,120.0,110.0,6 g,1.0 g,0 g,0 mg,420 mg,12 g,2 g,1 g,0 g,2 g,0.0 mcg,50 mg,0.8 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
French Vanilla Ice Cream,$4.49,1 Qt,140 g,330.0,329.0,21 g,12 g,0.5 g,130 mg,65 mg,30 g,0 g,28 g,24 g,5 g,1.0 mcg,150 mg,0.4 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Finely Shredded Lite Mexican Style Cheese Blend,$3.99,12 Oz,28 g,80.0,76.0,4.0 g,2.5 g,0 g,15 mg,170 mg,2 g,0 g,0 g,0 g,8 g,0 mcg,250 mg,0 mg,20 mg,,,80 mcg,,,,,,,,,,,,,,,,,,
Colossal Olives Stuffed with Garlic Cloves,$4.49,16 Fl Oz,9.5 g,15.0,17.0,1 g,0 g,0 g,0 mg,150 mg,2 g,1 g,0 g,0 g,0 g,0.0 mcg,10 mg,0.0 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Crunchy Peanut Butter Salted,$2.49,16 Oz,32 g,190.0,204.0,16 g,2.5 g,0 g,0 mg,140 mg,7 g,3 g,2 g,0 g,8 g,0.0 mcg,20 mg,0.5 mg,200 mg,3.0 g,8 g,,,,,,,,,,,,,,,,,,,
The Dark Chocolate Lover's Chocolate Bar,$1.99,3.5 Oz,31 g,190.0,187.0,15 g,9 g,0 g,0 mg,0 mg,10 g,4 g,5 g,5 g,3 g,0.0 mcg,40 mg,0.6 mg,180 mg,,,,,,,,,,,,,,,,,,,,,
Brownie Truffle Baking Mix,$3.79,16 Oz,28 g,180.0,181.0,9 g,5 g,0 g,40 mg,120 mg,23 g,1 g,16 g,16 g,2 g,0.2 mcg,10 mg,2.2 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Black Garlic Cream Cheese Spread,$2.79,8 Oz,30 g,100.0,97.0,9 g,6 g,0 g,30 mg,170 mg,2 g,0 g,1 g,0 g,2 g,0.2 mcg,30 mg,0.1 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Valentine Sprinkle,$1.99,3.5 Oz,4 g,15.0,16.0,0 g,0 g,0 g,0 mg,0 mg,4 g,0 g,3 g,3 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Thai Peanut Satay Sauce,$2.29,8.1 Oz,34 g,80.0,84.5,4.5 g,2.5 g,0 g,0 mg,270 mg,9 g,2 g,5 g,4 g,2 g,0.0 mcg,10 mg,0.4 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Egg Salad,$4.99,10 Oz,100 g,220.0,211.0,19 g,3.0 g,0 g,220 mg,330 mg,3 g,2 g,2 g,0 g,7 g,,,,,,,,,,,,,,,,,,,,,,,,,
Snickerdoodle Cookies,$4.99,14 Oz,33 g,150.0,146.0,6 g,3.5 g,0 g,10 mg,220 mg,21 g,0 g,9 g,9 g,2 g,0.1 mcg,10 mg,0.1 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Chocolatey Dipping Kit,$0.01,8 Oz,28 g,150.0,152.0,8 g,6 g,0 g,0 mg,10 mg,19 g,2 g,17 g,15 g,1 g,0.0 mcg,20 mg,0.9 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Caramel Palmiers,$2.49,3.52 Oz,33 g,180.0,182.0,10 g,7 g,0 g,25 mg,150 mg,21 g,0 g,9 g,9 g,2 g,0.0 mcg,10 mg,0.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Cinnamon Sugar Almonds,$3.99,8 Oz,30 g,150.0,152.0,8 g,5 g,0 g,0 mg,80 mg,18 g,0 g,17 g,15 g,2 g,0.0 mcg,40 mg,0.3 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Calamansi & Mango Sorbet,$3.79,1 Pint,140 g,480.0,492.0,0 g,0 g,0 g,0 mg,35 mg,121 g,2 g,104 g,97 g,2 g,0.2 mcg,30 mg,0.2 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Chocolate Cheesecake Bites,$4.99,8.2 Oz,232 g,70.0,873.0,49 g,22 g,1.0 g,160 mg,610 mg,95 g,5 g,62 g,58 g,13 g,0.6 mcg,120 mg,5.2 mg,530 mg,,,,,,,,,,,,,,,,,,,,,
Beer Bread Mix,$2.99,19 Oz,30 g,130.0,135.5,3.5g,1.5g,0 g,5mg,260mg,24g,2g,5g,4g,2g,0.0mcg,10mg,1.2mg,30mg,,,,,,,,,,,,,,,,,,,,,
Creamy Spinach & Artichoke Dip,$3.79,8.8 Oz,30 g,40.0,43.0,3.0 g,1.5 g,0 g,10 mg,125 mg,2 g,0 g,0 g,0 g,2 g,0.0 mcg,50 mg,0.2 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Covered Cherries,$5.99,12 Oz,30 g,130.0,143.0,7 g,4.5 g,0 g,0 mg,0 mg,19 g,2 g,15 g,10 g,1 g,0.0 mcg,20 mg,2.2 mg,130 mg,,,,,,,,,,,,,,,,,,,,,
Sea Scallops,$17.99,16 Oz,113 g,90.0,96.0,0 g,0 g,0 g,30 mg,160 mg,3 g,0 g,0 g,0 g,21 g,0.0 mcg,10 mg,0.0 mg,420 mg,,,,,,,,,,,,,,,,,,,,,
Aglio Olio Seasoning Blend,$2.49,1.7 Oz,1 g,0.0,0.0,0 g,0 g,0 g,0 mg,115 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.1 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Kanom Krok Thai Coconut Pancakes,$3.29,6.35 Oz,180 g,450.0,447.0,23 g,19 g,0 g,0 mg,450 mg,56 g,2 g,15 g,12 g,4 g,0.0 mcg,10 mg,1.1 mg,270 mg,,,,,,,,,,,,,,,,,,,,,
Jalapeño & Cream Cheese Crispy Wontons,$4.99,7.5 Oz,89 g,720.0,738.0,46 g,21 g,1.0 g,80 mg,1110 mg,65 g,6 g,6 g,0 g,16 g,0.0 mcg,160 mg,1.2 mg,290 mg,,,,,,,,,,,,,,,,,,,,,
Garlic Shiitake Green Beans,$2.69,10.58 Oz,110 g,190.0,194.0,6 g,1.0 g,0 g,0 mg,1070 mg,29 g,10 g,14 g,5 g,6 g,0.0 mcg,110 mg,2.2 mg,570 mg,,,,,,,,,,,,,,,,,,,,,
Spring Rolls with Tofu,$5.49,7 Oz,198 g,270.0,274.0,10 g,2.0 g,0 g,0 mg,300 mg,38 g,1 g,8 g,6 g,8 g,0.0 mcg,90 mg,2.5 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Spring Rolls with Shrimp,$5.99,7 Oz,198 g,240.0,246.0,6 g,1.0 g,0 g,60 mg,370 mg,38 g,3 g,10 g,6 g,10 g,0.0 mcg,80 mg,1.6 mg,190 mg,,,,,,,,,,,,,,,,,,,,,
A Handful of Tiny Dark Chocolate Covered Pretzels,$1.19,2.5 Oz,28 g,350.0,356.0,16 g,10 g,0 g,10 mg,370 mg,48 g,5 g,25 g,24 g,5 g,0.0 mcg,20 mg,2.6 mg,260 mg,,,,,,,,,,,,,,,,,,,,,
Brown Sugar Cardamom Buns,$4.49,8.46 Oz,120 g,890.0,894.0,42 g,18 g,1.0 g,30 mg,620 mg,119 g,5 g,64 g,60 g,10 g,1.2 mcg,110 mg,0.0 mg,310 mg,,,,,,,,,,,,,,,,,,,,,
Uncured Pastrami,$6.49,8 Oz,56 g,70.0,74.0,2.0 g,1.0 g,0 g,30 mg,440 mg,2 g,2 g,0 g,0 g,12 g,0.0 mcg,20 mg,1.1 mg,460 mg,,,,,,,,,,,,,,,,,,,,,
Double Cream Brie,$7.99,1 Lb,28 g,110.0,110.0,10g,6g,0g,25mg,200mg,0g,0g,0g,0g,5g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Seeded Bread,$3.69,24 Oz,43 g,140.0,149.0,5 g,0.5 g,0 g,0 mg,210 mg,20 g,3 g,4 g,4 g,6 g,0.3 mcg,60 mg,1.3 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Almond Biscotti,$4.79,8 Oz,28 g,110.0,111.5,3.5 g,1.0 g,0 g,15 mg,60 mg,18 g,1 g,10 g,10 g,2 g,0.0 mcg,10 mg,0.8 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Rosatella Pasta Sauce,$3.99,14.5 Oz,125 g,180.0,170.0,14 g,9 g,0 g,30 mg,640 mg,8 g,2 g,4 g,2 g,3 g,,,,,,,,,,,,,,,,,,,,,,,,,
Bourbon Vanilla Bean Paste,$4.99,4 Oz,5 g,15.0,12.0,0 g,0 g,0 g,0 mg,0 mg,3 g,0 g,3 g,3 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Baingan Bharta,$3.49,10 Oz,142 g,310.0,331.0,23 g,3.5 g,0 g,0 mg,920 mg,26 g,11 g,13 g,0 g,5 g,0.0 mcg,130 mg,2.0 mg,690 mg,,,,,,,,,,,,,,,,,,,,,
Jersey Gouda,$12.99,1 Lb,28 g,130.0,127.0,11 g,9 g,0 g,30 mg,210 mg,0 g,0 g,0 g,0 g,7 g,0.0 mcg,200 mg,0.0 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Pita Bite Crackers,$2.99,6 Oz,30 g,130.0,128.0,4.0 g,0 g,0 g,0 mg,150 mg,20 g,2 g,2 g,0 g,3 g,0.0 mcg,10 mg,1.3 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Italian Bomba Hot Pepper Sauce,$3.49,6.7 Oz,28 g,60.0,58.0,6 g,0.5 g,0 g,0 mg,190 mg,1 g,0 g,2 g,0 g,0 g,0.0 mcg,10 mg,0.1 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Organic Ancient Grain & Seed Bread,$3.99,20 Oz,27 g,70.0,73.5,1.5 g,0 g,0 g,0 mg,90 mg,12 g,2 g,2 g,2 g,3 g,0.0 mcg,20 mg,0.7 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Icelandic Style Skyr Lowfat Raspberry Yogurt,$1.19,5.3 Oz,150 g,120.0,122.0,2.0 g,1.5 g,0 g,15 mg,50 mg,11 g,0 g,7 g,5 g,15 g,0.0 mcg,150 mg,0.1 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Icelandic Style Skyr Lowfat Cherry Yogurt,$1.19,5.3 Oz,150 g,130.0,130.0,2.0 g,1.0 g,0 g,15 mg,50 mg,12 g,0 g,7 g,5 g,16 g,0.0 mcg,190 mg,0.0 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
Icelandic Style Skyr Lowfat Vanilla Yogurt,$1.19,5.3 Oz,150 g,130.0,126.0,2.0 g,1.5 g,0 g,15 mg,50 mg,12 g,0 g,8 g,5 g,15 g,0.0 mcg,190 mg,0.0 mg,200 mg,,,,,,,,,,,,,,,,,,,,,
Chicken Meatballs,$3.99,12 Oz,85 g,150.0,153.0,9 g,2.0 g,0 g,80 mg,300 mg,2 g,0 g,0 g,0 g,16 g,0.0 mcg,20 mg,1.3 mg,480 mg,,,,,,,,,,,,,,,,,,,,,
Tarte aux Champignons,$4.79,9.52 Oz,135 g,580.0,576.0,24 g,16 g,0 g,50 mg,1270 mg,71 g,5 g,7 g,2 g,19 g,0.0 mcg,350 mg,0.0 mg,340 mg,,,,,,,,,,,,,,,,,,,,,
"Shaved Parmesan, Romano & Asiago Cheeses",$3.49,5 Oz,5 g,20.0,17.5,1.5 g,1.0 g,0 g,10 mg,50 mg,0 g,0 g,0 g,0 g,1 g,0.0 mcg,50 mg,0.0 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Organic Brown Rice & Quinoa Fusilli Pasta,$3.49,16 Oz,56 g,200.0,201.5,1.5 g,0 g,0 g,0 mg,0 mg,43 g,2 g,2 g,0 g,4 g,0.0 mcg,10 mg,1.1 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Meyer Lemons,$1.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grapefruit, 5lb bag",$5.99,5 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet & Salty Umami Crunchies Rice Crackers,$2.99,6.35 Oz,28 g,150.0,157.0,9 g,2.0 g,0 g,0 mg,230 mg,17 g,0 g,3 g,3 g,2 g,0.0 mcg,0 mg,0.0 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
All Natural Shaved Beef Steak,$10.99,1 Lb,112 g,200.0,201.0,13g,4.5g,0g,75mg,85mg,0g,0g,0g,0g,21g,0mcg,10mg,2.5mg,340mg,,,,,,,,,,,,,,,,,,,,,
Double Cream Gouda Cheese,$9.99,1 Lb,28 g,110.0,109.0,9g,6g,0g,30mg,200mg,2g,0g,0g,0g,5g,,,,,,,,,,,,,,,,,,,,,,,,,
Feta Cheese,$3.49,8 Oz,28 g,70.0,60.5,4.5 g,3.0 g,0 g,20 mg,310 mg,0 g,0 g,0 g,0 g,5 g,0.0 mcg,80 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Almost Everything Bagels,$2.69,22 Oz,104 g,260.0,257.0,1 g,0 g,0 g,0 mg,480 mg,52 g,2 g,5 g,5 g,10 g,0.0 mcg,36 mg,3 mg,115 mg,,,,,,,,,,,,,,,,,,,,,
Papadums Lentil and Chickpea Crisps,$2.69,5 Oz,28 g,140.0,144.0,8 g,4.0 g,0 g,0 mg,210 mg,13 g,3 g,1 g,0 g,5 g,0.0 mcg,30 mg,1.1 mg,250 mg,,,,,,,,,,,,,,,,,,,,,
Sweetened Green Mango,$2.49,6 Oz,40 g,140.0,140.0,0 g,0 g,0 g,0 mg,60 mg,35 g,1 g,28 g,11 g,0 g,0.0 mcg,40 mg,0.2 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Fruits & Greens Smoothie Blend,$3.99,16 Oz,140 g,80.0,88.5,0.5 g,0 g,0 g,0 mg,15 mg,19 g,4 g,12 g,0 g,2 g,0.0 mcg,40 mg,0.8 mg,310 mg,,,,,,,,,,,,,,,,,,,,,
Plain Bagels,$2.69,22 Oz,104 g,250.0,265.0,1.0 g,0 g,0 g,0 mg,310 mg,53 g,2 g,4 g,3 g,11 g,0.0 mcg,40 mg,3.1 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Tofu Sheets,$2.99,6.35 Oz,90 g,300.0,298.0,14 g,2.5 g,0 g,0 mg,25 mg,13 g,0 g,4 g,0 g,30 g,0.0 mcg,70 mg,3.4 mg,410 mg,,,,,,,,,,,,,,,,,,,,,
Tortilla Española,$5.49,21.16 Oz,100 g,150.0,143.0,7 g,1.0 g,0 g,145 mg,320 mg,15 g,2 g,2 g,0 g,5 g,0.2 mcg,30 mg,0.8 mg,320 mg,,,,,,,,,,,,,,,,,,,,,
Rice Vinegar,$2.49,16.9 Fl Oz,15 mL,0.0,0.0,0 g,,,,0 mg,0 g,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Peanutty Noodle Bowl with Chicken,$3.49,10.8 Oz,306 g,500.0,503.0,23 g,3.5 g,0 g,35 mg,820 mg,55 g,4 g,15 g,13 g,19 g,0.1 mcg,70 mg,13.0 mg,490 mg,,,,,,,,,,,,,,,,,,,,,
Organic Ground Black Pepper,$1.99,2 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Salt Fine Crystals,$1.99,26.5 Oz,1.5 g,0.0,0.0,0 g,0 g,0 g,0 mg,590 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Wild Sockeye Smoked Salmon,$7.99,4 Oz,57 g,150.0,149.0,5 g,1 g,0 g,30 mg,1470 mg,0 g,0 g,0 g,0 g,26 g,35.4 mcg,10 mg,0.4 mg,470 mg,,,,,,,,,,,,,,,,,,,,,
Whipped Cream Cheese,$2.29,8 Oz,20 g,70.0,71.0,7 g,4.0 g,0 g,20 mg,70 mg,1 g,0 g,2 g,0 g,1 g,0 mcg,0 mg,0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Cream Cheese,$1.99,8 Oz,28 g,90.0,93.0,9 g,6 g,0 g,30 mg,95 mg,2 g,0 g,1 g,0 g,1 g,0 mcg,27 mg,0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Everything Bagels,$2.99,18 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Bagels,$2.49,18 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Raisin Bagels,$2.49,18 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Swirl Raisin Bagels,$2.99,18 Oz,85 g,230.0,240.5,0.5 g,0 g,0 g,0 mg,330 mg,51 g,3 g,12 g,11 g,8 g,0.0 mcg,80 mg,2.5 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Challah Braided Egg Bread,$3.29,16 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petit Fours Mousse Cakes,$4.99,7 Oz,198 g,140.0,1253.0,73 g,32 g,0 g,85 mg,640 mg,140 g,4 g,78 g,76 g,9 g,0.6 mcg,150 mg,3.5 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Apple Tatin Tartelettes,$4.99,10.58 Oz,150 g,440.0,430.0,14 g,9 g,0 g,40 mg,80 mg,73 g,5 g,54 g,28 g,3 g,0.0 mcg,20 mg,0.3 mg,240 mg,,,,,,,,,,,,,,,,,,,,,
,$3.99,8.8 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Bulgogi,$11.99,16 Oz,140 g,280.0,280.0,16 g,7 g,1.0 g,65 mg,740 mg,13 g,0 g,9 g,9 g,21 g,0.1 mcg,20 mg,2.5 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
Hardwood Smoked Pulled Chicken,$8.99,16 Oz,84 g,110.0,110.0,2.0 g,0.5 g,0 g,70 mg,200 mg,2 g,0 g,0 g,0 g,21 g,0.0 mcg,0 mg,0.4 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
Meatless Breakfast Sausage Patties,$3.99,8 Oz,38 g,70.0,71.0,3.0 g,0 g,0 g,0 mg,210 mg,4 g,2 g,0 g,0 g,7 g,0.0 mcg,30 mg,0.9 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Italian Tiramisu,$4.49,13.05 Oz,185 g,810.0,799.0,47 g,28 g,1.0 g,605 mg,360 mg,72 g,4 g,41 g,41 g,22 g,1.0 mcg,200 mg,3.3 mg,610 mg,,,,,,,,,,,,,,,,,,,,,
Vegan Heavy Whipping Cream Alternative,$3.99,16.9 Fl Oz,15 mL,45.0,40.5,4.5 g,3.5 g,0 g,0 mg,5 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Candy Cane Joe-Joe's,$4.49,12 Oz,26 g,120.0,129.0,5 g,2.5 g,0 g,0 mg,75 mg,19 g,2 g,11 g,10 g,2 g,0.0 mcg,0 mg,0.6 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Stars,$4.99,16 Oz,30 g,140.0,155.0,7g,4g,0g,0mg,55mg,21g,1g,11g,11g,2g,0mcg,10mg,2.1mg,90mg,,,,,,,,,,,,,,,,,,,,,
Cranberry Butter Cookies,$2.99,4.93 Oz,28 g,130.0,138.0,6 g,4.0 g,0 g,15 mg,50 mg,19 g,0 g,9 g,8 g,2 g,0.2 mcg,10 mg,0.3 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Scalloped Cracker Trio,$3.99,16.4 Oz,28 g,120.0,125.0,5 g,0 g,0 g,0 mg,200mg,18 g,2 g,2 g,0 g,2 g,0.0 mcg,10 mg,1.0 mg,40mg,,,,,,,,,,,,,,,,,,,,,
Uncured Bacon Porchetta Pork Roast,$8.49,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josie's Mandarins,$3.49,2 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegan Gingerbread Loaf,$2.99,15 Oz,56 g/,170.0,172.0,4.0 g,0 g,0 g,0 mg,280 mg,32 g,1 g,17 g,17 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,
Olive Fougasse,$3.49,12 Oz,56 g/,130.0,130.0,2.0 g,0 g,0 g,0 mg,340 mg,24 g,1 g,0 g,0 g,4 g,0.0 mcg,10 mg,1.9 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Pecan Pie,$9.99,24 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Cranberry Pistachio Biscotti,$4.49,9 Oz,32 g,130.0,128.5,4.5 g,2.0 g,0 g,20 mg,40 mg,20 g,2 g,12 g,11 g,2 g,0.1 mcg,10 mg,0.7 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Gingerbread House Kit,$8.99,26.4 Oz,30 g,110.0,130.0,2.0 g,0 g,0 g,0 mg,0 mg,27 g,2g g,20 g,17 g,1 g,0.2 mcg,0 mg,0.2 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Astouding Multi-flavor Mini Pretzels,$7.99,16 Oz,32 g,150.0,159.0,7 g,4.5 g,0 g,0 mg,170 mg,22 g,1 g,13 g,12 g,2 g,0.0 mcg,20 mg,1.0 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Peppermint Flavored Baking Chips,$3.49,10 Oz,15 g,80.0,80.0,4.0 g,3.5 g,0 g,0 mg,5 mg,11 g,0 g,10 g,10 g,0 g,0.0 mcg,10 mg,0.0 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Covered Peppermint Cremes,$3.99,7 Oz,26 G,110.0,115.5,3.5 g,2.0 g,0 g,0 mg,20 mg,20 g,2 g,20 g,20 g,1 g,0.0 mcg,0 mg,0.6 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Scandinavian Tidings,$3.49,14 Oz,30 g,100.0,104.0,0 g,0 g,0 g,0 mg,20 mg,26 g,0 g,19 g,19 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Taste Test of Caramels,$6.99,6.56 Oz,31 g,160.0,161.0,9g,6g,0g,0mg,25mg,18g,2g,16g,16g,2g,0mcg,30mg,2mg,120mg,,,,,,,,,,,,,,,,,,,,,
Family Style Meat Lasagna,$6.99,32 Oz,227 g,320.0,314.0,14 g,7 g,0 g,55 mg,720 mg,26 g,2 g,5 g,2 g,21 g,0.1 mcg,250 mg,1.6 mg,460 mg,,,,,,,,,,,,,,,,,,,,,
Mini Quiche Duo,$4.79,8.9 Oz,84 g,770.0,775.0,47 g,20 g,0.5 g,230 mg,1280 mg,63 g,2 g,6 g,0 g,25 g,0.9 mcg,290 mg,4.1 mg,400 mg,,,,,,,,,,,,,,,,,,,,,
Cinnamon Bun Inspired Pancake & Waffle Mix,$3.99,16 Oz,50 g,300.0,300.0,12 g,7 g,0 g,80 mg,540 mg,40 g,1 g,14 g,10 g,8 g,0.8 mcg,130 mg,1.8 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Blue Cheese Stuffed Chalkidiki Olives,$6.99,22.9 Oz,15 g,25.0,22.5,2.5 g,1 g,0 g,10 mg,130 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,20 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Pretzel Bread Pudding,$4.49,7.6 Oz,108 g,660.0,652.0,32 g,19 g,1.0 g,140 mg,1220 mg,81 g,2 g,47 g,43 g,10 g,0.4 mcg,120 mg,2.8 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Stollen Crisps,$4.29,5.3 Oz,30 g,80.0,80.5,0.5 g,0 g,0 g,0 mg,100 mg,17 g,0 g,10 g,6 g,2 g,0.0 mcg,20 mg,0.4 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Figgy Cheddar,$10.99,1 Lb,28 g,110.0,113.0,9g,5g,0g,20mg,190mg,2g,0g,1g,2g,6g,0.1mcg,200mg,0.1mg,30mg,,,,,,,,,,,,,,,,,,,,,
Dolce Creamy Gorgonzola Style Cheese,$4.99,8 Oz,28 g,100.0,104.0,8 g,5 g,0 g,20 mg,140 mg,2 g,0 g,0 g,0 g,6 g,0.0 mcg,120 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Chicken Shawarma Bowl,$3.99,11.3 Oz,320 g,400.0,396.0,12 g,3.5 g,0 g,45 mg,720 mg,52 g,4 g,3 g,2 g,20 g,0.4 mcg,90 mg,1.6 mg,540 mg,,,,,,,,,,,,,,,,,,,,,
